[06-Nov-2024 21:18:35 Europe/Berlin] Error de inicio de sesión para admin2@gmail.com: Correo o contraseña incorrectos
[06-Nov-2024 21:18:39 Europe/Berlin] Error de inicio de sesión para admin2@gmail.com: Correo o contraseña incorrectos
[07-Nov-2024 17:42:38 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:43:13 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:44:48 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:45:24 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:45:43 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:49:21 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:49:26 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:49:35 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:49:55 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:49:57 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:50:00 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:50:07 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:50:14 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:52:59 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:53:02 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:54:23 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
[07-Nov-2024 17:54:30 Europe/Berlin] Error al insertar teléfono del cliente: Duplicate entry '0' for key 'PRIMARY'
